id,factor,category,subcategory,prime
1,Excessive Sleep,medical,sleep,true
2,Poor/Little Sleep,medical,sleep,true
3,Fatigue,medical,sleep,true
4,Excessive Exhaustion,medical,sleep,true
5,Extreme Yawning,medical,sleep,true
6,Drowsiness,medical,sleep,true
7,"Brain Fog, Lack of Focus",medical,cognitive,true
8,Short Term Memory Loss,medical,cognitive,true
9,Poor Concentration,medical,cognitive,true
10,Slow Thinking or Processing,medical,cognitive,true
11,"Can't find the right words",medical,cognitive,true
12,Depression,medical,emotional,true
13,Anxiety,medical,emotional,true
14,Mood Swings,medical,emotional,true
15,Unexplained Sadness/Crying,medical,emotional,true
16,Headaches and/or Migraines,medical,physical,true
17,Loss of Balance/Dizziness,medical,physical,true
18,Loss of Smell,medical,physical,true
19,Light Sensitivity,medical,physical,true
20,Ringing in Ears,medical,physical,true
21,Noise Sensitivity,medical,physical,true
22,Vomiting/Digestion Issues,medical,physical,true
23,Blurred Vision,medical,vision,true
24,Heart Sensations,medical,physical,true
26,Lack of Coordination,medical,physical,true
27,Unexplained Dropping Objects,medical,physical,true
28,Loss of Hand Control,medical,physical,true
29,Repeating Oneself,medical,physical,true
30,Loss of Appetite,medical,physical,true
31,Always Hungry,medical,physical,true
32,Car,SDOH,travel,true
33,Bus,SDOH,travel,true
34,Plane,SDOH,travel,true
35,Boat,SDOH,travel,true
38,High Temperature,SDOH,environmental,true
39,Low Temperature,SDOH,environmental,true
40,Storm,SDOH,environmental,true
41,Rain,SDOH,environmental,true
42,Bright Sun,SDOH,environmental,true
43,Large Crowds,SDOH,environmental,true
44,Loud Noises,SDOH,environmental,true
45,Computer,SDOH,screen time,true
46,TV,SDOH,screen time,true
47,Phone,SDOH,screen time,true
48,Tablet,SDOH,screen time,true
49,Menstrual Cycle,SDOH,wellness,true
50,Dehydration,SDOH,wellness,true
51,Caffeine,SDOH,wellness,true
52,Exercise,SDOH,wellness,true
53,Feeling Today,medical,emotional,false
54,Narcolepsy,medical,sleep,true
55,Sleep Apnea,medical,sleep,true
56,Dyslexia,medical,cognitive,true
57,Stuttering,medical,cognitive,true
58,No Motivation,medical,emotional,true
59,Loss of Taste,medical,physical,true
62,Door bell ringing,SDOH,other,true
64,Stress,SDOH,wellness,true
65,Sitting too long,SDOH,other,true
69,Angry,medical,emotional,true
70,Crowds,SDOH,other,true
72,Very nervous,medical,emotional,true
74,"Everybody talking at once, people telling me to do more than one thing, rushing me",SDOH,other,true
76,Panic attacks,medical,emotional,true
77,Color red,SDOH,other,true
78,Irritability,medical,emotional,true
79,Barking dog,SDOH,other,true
80,Smart watch,SDOH,screen time,true
84,Sudden exertion,SDOH,other,true
85,Humidity,SDOH,environmental,true
86,Barometric pressure,SDOH,environmental,true
87,Emotional situations,SDOH,other,true
88,Impulsive,medical,emotional,true
89,Shaking,medical,sleep,true
90,Panc attacks,medical,emotional,false
91,High temperature,SDOH,other,false
92,2,medical,emotional,false
93,Rv,SDOH,travel,false
94,Vertigo,medical,sleep,false
95,Nausea,medical,sleep,false
96,Muscle pain,medical,sleep,false
97,Visual disturbance,medical,sleep,false
98,Neck pain,medical,sleep,false
99,Emotional stress,SDOH,other,false
101,Wheelchair,SDOH,travel,false
102,Too much sleep,SDOH,wellness,false
103,Restless,SDOH,wellness,false
104,Disturbed sleep,SDOH,wellness,false
105,Other people,SDOH,other,false
106,Headache,medical,cognitive,false
107,Hurricanes,SDOH,other,false
108,Very sad,medical,emotional,false
109,Commotion around me,SDOH,other,false
110,Flashing lights,SDOH,other,false
111,Reading. neurofeedback training.,SDOH,other,false
112,N/a,medical,cognitive,false
113,Overstimulation,SDOH,other,false
114,I can only sleep in 20 minute bursts at night.,medical,sleep,false
115,Multiple sources of information at once,SDOH,other,false
116,Diminishing hearing every year progressing,medical,sleep,false
117,An unhealthy sexual appetite to want sex too often,medical,emotional,false
118,"Don't seem to an egg knowledge the volume of my voice when speaking so i speak loudly very often",medical,cognitive,false
119,Children,SDOH,other,false
120,Extreme hunger,medical,sleep,false
121,Dysphagia,medical,cognitive,false
122,Watch band allergy,SDOH,other,false
123,No,SDOH,other,false
124,Aphasia and seizures,medical,cognitive,false
125,None,SDOH,none,false
126,Hydrocephalus,SDOH,other,false
127,Vision loss,medical,cognitive,false
128,Bad food day,SDOH,wellness,false
129,Physical exertion,SDOH,other,false
82,Constipation,medical,physical,true
100,Motorized scooter/bike,SDOH,travel,true
25,Slurred Speech,medical,speech,true
83,Extremities of toes and hands often cold,medical,physical,true
130,Inarticulate,medical,cognitive,false
131,Vision,medical,sleep,false
132,Wake up a lot,medical,sleep,false
133,Lack of sleep,SDOH,wellness,false
134,Slow reflexes,medical,sleep,false
135,Inefficient medical care,SDOH,other,false
136,Mold toxicity,SDOH,environmental,false
137,3 a.m. bilateral leg muscle contraction -- not restless legs,medical,sleep,false
138,"Virtually nonexistent visuo-spatial procesing, dependence on sound rather than vision, focal vision with peripheral loss, eye tracking/convergence/saccadic movement/photophobia issues",medical,cognitive,false
139,Feeling helpless and like i have lost my agency in the world,medical,emotional,false
140,"Absent visual-spatial imagination, perception or memory",medical,cognitive,false
141,Huge problems with visual processing,medical,sleep,false
142,Allergy,SDOH,wellness,false
143,Low energy,medical,cognitive,false
144,I really use positive thinking to stay on track.,medical,emotional,false
145,Walking,SDOH,wellness,false
146,News,SDOH,screen time,false
147,9/11 memorial,SDOH,wellness,false
148,No sleep,SDOH,wellness,false
149,Occasional dyslexia,medical,cognitive,false
150,People,SDOH,other,false
151,Quality sleep,SDOH,wellness,false
152,Apathy,medical,emotional,false
153,Clench jaw,medical,sleep,false
154,Some conversation,SDOH,other,false
155,Leg pain,SDOH,wellness,false
156,"Hand spasms, arm. s, fingers, legs, feet & toes paresis & paresthesias",medical,sleep,false
157,"Sitting, standing,music,lectures, zoom functions",SDOH,other,false
158,Multi-tasking,SDOH,wellness,false
159,Trouble with math,medical,cognitive,false
160,Restless leg syndrome,medical,sleep,false
161,Memory recall problems,medical,sleep,false
162,Increase in heart rate,SDOH,other,false
163,Nerve pain,SDOH,wellness,false
164,Stupidity,SDOH,other,false
165,Much cooler day,SDOH,environmental,false
166,Day after hormone treatment,SDOH,wellness,false
167,Hormone treatment,SDOH,wellness,false
168,Lots of computer time,SDOH,screen time,false
169,Cooler,SDOH,environmental,false
170,Fall beginning,SDOH,environmental,false
171,Gi issues,medical,sleep,false
172,Poor diet,SDOH,other,false
173,Traffic,SDOH,travel,false
174,Tues. my inr was 2.4,SDOH,wellness,false
175,"Loss of balance, sometimes. no dizziness",medical,sleep,false
176,Exhaustion,SDOH,other,false
177,Being alone,SDOH,environmental,false
178,Didn’t have these when i had my accident,SDOH,screen time,false
179,Large suvz,SDOH,travel,false
180,A little of all.,medical,cognitive,false
181,Meds to sleep.,medical,sleep,false
182,Loud noise hurts brain.,SDOH,other,false
183,Ptsd,medical,emotional,false
184,Tree shadows on road,SDOH,wellness,false
185,Tree shadows,SDOH,wellness,false
186,Neurofatigue,medical,cognitive,false
187,"Violence, drama, crisis situations, medical and dental procedures",SDOH,other,false
188,Coordination leading to further injury open parentheses falling downstairs/in shower,medical,sleep,false
189,,medical,sleep,false
190,Lacking awareness of where body/limbs,medical,sleep,false
191,Arms legs back numb/dulled sense of touch,medical,sleep,false
192,Normal sensation slow to recover,medical,sleep,false
193,Heartache,medical,sleep,false
194,Lower body “falls asleep” intensity escalates quickly and,medical,sleep,false
195,Extreme melancholy,medical,emotional,false
196,Grieving without progressing through stages.  seems to loop.  it’s tenacious af,medical,emotional,false
197,Afraid,medical,emotional,false
198,Shame,medical,emotional,false
199,Embarrassment,medical,emotional,false
200,Guilt,medical,emotional,false
201,New significant behavioral issues when disassociated,medical,emotional,false
202,Isolate so no one sees,medical,emotional,false
203,Night terrors,medical,sleep,false
204,Unable to establish bedtime routine,medical,sleep,false
205,Night sweats,medical,sleep,false
206,Brain fatigue,medical,cognitive,false
207,Suddenly unable to remember what i was saying in conversation,medical,cognitive,false
208,Suddenly unable to remember what i was doing,medical,cognitive,false
209,Dating,SDOH,other,false
210,"No income, savings, retirement",SDOH,other,false
211,No interest,SDOH,other,false
212,The desire to find a loving relationship/my own family,SDOH,other,false
213,Being a passenger too often,SDOH,travel,false
214,Miss opportunities,SDOH,other,false
215,Extreme weight gain,SDOH,other,false
216,Never finding peace again,SDOH,other,false
217,Lost friends,SDOH,other,false
218,No job,SDOH,other,false
219,Age approaching fertility,SDOH,other,false
220,Meeting new people and i cannot relate to their journey,SDOH,other,false
221,Heat,SDOH,environmental,false
222,Parents (sorry),SDOH,wellness,false
223,Lost potential for career success,SDOH,other,false
224,Long Term Memory Loss,medical,cognitive,true
225,Hyper photosensitivity,SDOH,environmental,false
226,Hyper vigilance,SDOH,environmental,false
227,I bring no value to social gatherings,SDOH,environmental,false
228,Not sure of my behavior or communication skills are ok.,SDOH,environmental,false
229,Not being able to drive,SDOH,travel,false
230,Never solo and free to do my thing,SDOH,travel,false
231,I am not sure what is meant by “wellness trigger “,SDOH,wellness,false
232,Pain,medical,sleep,false
233,Speaking with attorney,SDOH,wellness,false
234,Mom in hospital,SDOH,wellness,false
235,Rental car,SDOH,travel,false
236,Tinnitus,SDOH,environmental,false
237,Can’t multitask,medical,cognitive,false
238,Visual overstimulation,SDOH,other,false
239,Looking forward to lunch on friday with my friend jason!,SDOH,wellness,false
240,Sleep lacking,SDOH,environmental,false
241,Hr 104    bp 139/94,SDOH,environmental,false
242,Tinnitus 7,SDOH,environmental,false
