Column,weight
headhit_Front_of_Head,0.2
headhit_Back_of_Head,0.21
headhit_Left_Side_of_Head,0.13
headhit_Right_Side_of_Head,0.12
headhit_Top_of_Head,0.15
headhit_Neck,0.11
headhit_Back_of_Head,0.08
injury_from_Accident,0.12
injury_from_Fall,0.11
injury_from_Collision,0.28
injury_from_Assault,0.15
injury_from_Sports,0.1
injury_from_Stroke,0.17
injury_from_Surgery,0.08
imm_symp_Memory_Loss,0.09
imm_symp_Loss_of_Consciousness,0.15
imm_symp_Confusion,0.09
imm_symp_Dazed_or_Vacant_Stare,0.09
imm_symp_Disorientation,0.09
imm_symp_Incoherent_Speech,0.12
imm_symp_Coma,0.36
sleep,0.14
emotional,0.18
physical,0.11
vision,0.16
cognitive,0.28
speech,0.13
headhit,0.18
imm_symp,0.23
injury_from,0.19
subcategory,0.27
demographic,0.13
